time,entry,outcome,pnl,balance
2026-04-09 00:57:00,70864.44,LOSS,-0.02,999.98
2026-04-09 01:31:00,70736.73,LOSS,-0.02,999.96
2026-04-09 02:20:00,70928.15,LOSS,-0.02,999.94
2026-04-09 03:50:00,71010.02,LOSS,-0.02,999.92
2026-04-09 04:37:00,70895.43,LOSS,-0.02,999.9
2026-04-09 05:05:00,70855.99,LOSS,-0.02,999.88
2026-04-09 06:00:00,71039.0,LOSS,-0.02,999.86
2026-04-09 06:36:00,70939.84,LOSS,-0.02,999.84
2026-04-09 07:36:00,71050.45,LOSS,-0.02,999.82
2026-04-09 07:55:00,71022.75,LOSS,-0.02,999.8
2026-04-09 08:06:00,71013.2,LOSS,-0.02,999.78
2026-04-09 08:24:00,71017.59,LOSS,-0.02,999.76
2026-04-09 09:10:00,71248.16,WIN,0.04,999.8
2026-04-09 09:32:00,71336.59,LOSS,-0.02,999.78
2026-04-09 09:45:00,71318.6,LOSS,-0.02,999.76
2026-04-09 10:20:00,71471.45,LOSS,-0.02,999.74
2026-04-09 10:45:00,71414.0,LOSS,-0.02,999.72
2026-04-09 11:40:00,71201.77,LOSS,-0.02,999.7
2026-04-09 12:02:00,71213.81,LOSS,-0.02,999.68
2026-04-09 12:28:00,71261.36,LOSS,-0.02,999.6601
2026-04-09 12:42:00,71254.96,LOSS,-0.02,999.6401
2026-04-09 12:54:00,71210.59,LOSS,-0.02,999.6201
2026-04-09 14:38:00,70752.28,LOSS,-0.02,999.6001
2026-04-09 15:13:00,71242.09,WIN,0.04,999.6401
2026-04-09 16:12:00,72234.01,LOSS,-0.02,999.6201
